INFO 2025-09-19 10:53:02,317 django.server log_message 212 "GET /api/config/ HTTP/1.1" 200 520
INFO 2025-09-19 10:53:08,450 django.server log_message 212 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2025-09-19 10:53:09,754 django.server log_message 212 "POST /api/auth/login/ HTTP/1.1" 200 635
INFO 2025-09-19 10:53:09,781 django.server log_message 212 "OPTIONS /api/teachers/2/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 10:53:09,783 django.server log_message 212 "OPTIONS /api/teachers/2/students/ HTTP/1.1" 200 0
INFO 2025-09-19 10:53:09,790 django.server log_message 212 "OPTIONS /api/tasks/ HTTP/1.1" 200 0
INFO 2025-09-19 10:53:09,790 django.server log_message 212 "OPTIONS /api/tasks/today_tasks/ HTTP/1.1" 200 0
INFO 2025-09-19 10:53:09,795 django.server log_message 212 "OPTIONS /api/teachers/2/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 10:53:09,796 django.server log_message 212 "OPTIONS /api/teachers/2/students/ HTTP/1.1" 200 0
INFO 2025-09-19 10:53:09,801 django.server log_message 212 "OPTIONS /api/tasks/ HTTP/1.1" 200 0
INFO 2025-09-19 10:53:09,804 django.server log_message 212 "OPTIONS /api/tasks/today_tasks/ HTTP/1.1" 200 0
INFO 2025-09-19 10:53:09,820 django.server log_message 212 "GET /api/teachers/2/classes/ HTTP/1.1" 200 39
INFO 2025-09-19 10:53:09,836 django.server log_message 212 "GET /api/tasks/today_tasks/ HTTP/1.1" 200 2
INFO 2025-09-19 10:53:09,878 django.server log_message 212 "GET /api/tasks/ HTTP/1.1" 200 2
INFO 2025-09-19 10:53:09,907 django.server log_message 212 "GET /api/teachers/2/classes/ HTTP/1.1" 200 39
INFO 2025-09-19 10:53:10,012 django.server log_message 212 "GET /api/teachers/2/students/ HTTP/1.1" 200 5246
INFO 2025-09-19 10:53:10,063 django.server log_message 212 "GET /api/tasks/ HTTP/1.1" 200 2
INFO 2025-09-19 10:53:10,090 django.server log_message 212 "GET /api/tasks/today_tasks/ HTTP/1.1" 200 2
INFO 2025-09-19 10:53:10,134 django.server log_message 212 "GET /api/teachers/2/students/ HTTP/1.1" 200 5246
INFO 2025-09-19 10:53:14,275 django.server log_message 212 "OPTIONS /api/classes/1/details/ HTTP/1.1" 200 0
WARNING 2025-09-19 10:53:14,292 django.request log_response 246 Bad Request: /api/classes/1/details/
WARNING 2025-09-19 10:53:14,293 django.server log_message 212 "GET /api/classes/1/details/ HTTP/1.1" 400 49
INFO 2025-09-19 10:53:16,377 django.server log_message 212 "OPTIONS /api/classes/1/details/ HTTP/1.1" 200 0
WARNING 2025-09-19 10:53:16,385 django.request log_response 246 Bad Request: /api/classes/1/details/
WARNING 2025-09-19 10:53:16,386 django.server log_message 212 "GET /api/classes/1/details/ HTTP/1.1" 400 49
